"ID"	"Mass_specific_VCO2"	"Ta"	"N"	"Tb"	"Taset"	"Whole_animal_VCO2"	"ID2"
"10_9_03"	1.3416740748905	29.0058909090909	2	32.75	29	33.7377562157416	"10"
"12_9_03"	1.65190771795182	28.9376606060606	2	32.8181818181818	29	48.998733320552	"12"
"2_8_03"	0.837933399570933	28.6056606060606	1	33	29	22.7626386874153	"2"
"5_10_03"	2.01804121637418	29.0325878787879	2	32.5	29	57.5773804562927	"5"
"6_8_03"	1.3340954137691	29.1191484848485	2	32.75	29	32.8520108318597	"6"
"8_11_03"	0.781483259256369	29.0308060606061	1	30.5	29	23.4509924861	"8"
"10_11_03"	1.05287418163148	30.3809090909091	3	34	30	27.7367554301852	"10"
"11_11_03"	0.988867917899572	30.4250412121212	5	33.1	30	25.5889742115655	"11"
"12_11_03"	0.932499260808662	30.4007414141414	6	33.25	30	29.0924760678494	"12"
"2_10_03"	1.13493639391027	30.2955090909091	9	34	30	32.6932224593674	"2"
"3_10_03"	0.92846530846429	30.3693163636364	10	32.5318181818182	30	22.6983414403227	"3"
"3_8_03"	2.53750994296937	29.5808787878788	1	34	30	65.9213064258008	"3"
"4_10_03"	1.10149061569051	30.3734583333333	8	33.8125	30	32.6515749575323	"4"
"5_10_03"	1.18351642402158	30.333503030303	11	33.0619834710744	30	33.1794229635616	"5"
"6_10_03"	1.08866704062735	30.3783090909091	9	33.0959595959596	30	27.0922494380812	"6"
"8_11_03"	1.17296545089365	30.4249090909091	1	32.5	30	34.349565345972	"8"
"8_9_03"	1.17492411703292	29.6248727272727	1	30	30	33.9064472302342	"8"
"9_11_03"	0.496530774861672	30.3335153158295	5	33.8	30	13.8037646261761	"9"
"9_9_03"	1.25526115640191	29.7149090909091	1	33	30	30.6266671744486	"9"
"10_11_03"	1.13203524334987	31.0276151515151	2	34.25	31	29.9725267777561	"10"
"11_11_03"	0.96341801474015	30.5724181818182	1	33	31	25.1192016307823	"11"
"12_11_03"	1.20621551180256	31.4303636363637	2	34	31	37.9261597704369	"12"
"2_10_03"	1.19509410134326	30.9900808080808	3	34.5	31	34.612570665031	"2"
"3_10_03"	0.70791710422992	30.9632333333333	4	32.1704545454545	31	17.3649687744864	"3"
"4_10_03"	1.42467543699529	31.3306712121212	4	34.125	31	42.3765434869294	"4"
"5_10_03"	1.33506005290698	31.0592242424242	4	33.375	31	37.8217551426939	"5"
"6_10_03"	0.793607176410168	30.9726848484848	3	33	31	19.9871641446439	"6"
"8_11_03"	1.01759494988101	31.0946848484848	1	32.6818181818182	31	29.7323365066528	"8"
"9_11_03"	0.478719508851621	30.8700273467433	3	33.8333333333333	31	13.3002500626009	"9"
"10_11_03"	0.675126473432845	32.4206528138528	7	34.5714285714286	32	17.4196032421299	"10"
"11_11_03"	0.813104738973393	32.2634895622896	9	34.3686868686869	32	20.7275520579272	"11"
"12_11_03"	0.74996213980598	32.3623809523809	7	34.4285714285714	32	23.0437022112133	"12"
"2_10_03"	0.97073274310959	32.2806727272727	8	34.6875	32	27.461187872964	"2"
"3_10_03"	0.834112375380632	32.2816333333333	8	33.8125	32	20.144477834291	"3"
"4_10_03"	0.757178143073163	32.3718909090909	6	34.5	32	22.0334180276735	"4"
"5_10_03"	0.778957497406215	32.3657503030303	5	34.0636363636364	32	21.365527244148	"5"
"6_10_03"	0.796015849788298	32.3536196969697	8	33.9829545454545	32	19.4441044586532	"6"
"8_11_03"	0.757971219164096	32.2879922077922	7	32.8571428571429	32	21.9130839169453	"8"
"9_11_03"	0.617298800696675	32.4058050493755	6	34.0833333333333	32	17.0060975162653	"9"
"10_11_03"	0.616177050851588	33.3242666666667	1	35	33	15.6483745069902	"10"
